Business Name,Business Address,Business Phone,Business Website,Business Email,Facebook,Twitter,Linkedin,Keyword,Location,Date Extracted
"Inspirit Beauty Lounge","Inspirit Beauty Lounge, 194 King St S, Waterloo, ON N2J 1P9, Canada","+1 519-208-0365","http://www.inspiritbeauty.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"The Fawn Collective","The Fawn Collective, 18 Fischer-Hallman Rd N Unit 102, Waterloo, ON N2L 2X3, Canada","+1 519-208-1090","http://thefawncollective.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Nail Care Salon","Nail Care Salon, 75 King St S Unit 15, Waterloo, ON N2J 1P2, Canada","+1 519-342-2627","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"HeadKuarters","HeadKuarters, 465 Phillip St, Waterloo, ON N2L 6C7, Canada","+1 519-884-6589","http://www.headkuarters.ca/","","https://www.facebook.com/HeadKuartersHairDesign","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Hair Plus","Hair Plus, 338 Albert St Unit 101, Waterloo, ON N2L 0G8, Canada","+1 519-745-5556","http://www.hairpluswaterloo.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"First Choice Haircutters","First Choice Haircutters, 94 Bridgeport Rd E, Waterloo, ON N2J 2J9, Canada","+1 519-886-2209","https://www.firstchoice.com/checkin/51358","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"City Style Salon & Barber shop","City Style Salon & Barber shop, Commercial, 330 Phillip St unit 108, Waterloo, ON N2L 3W9, Canada","+1 519-914-0166","https://www.citystylebarbershop.ca/","info@citystylebarbershop.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Eva's Hairstyling Salon","Eva's Hairstyling Salon, 191 Bridge St W, Waterloo, ON N2K 1K8, Canada","+1 519-884-8919","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sugar Coated","Sugar Coated, 95 King St S, Waterloo, ON N2J 1P5, Canada","+1 226-989-9187","http://www.sugarcoatedlifestyle.com/","info@sugarcoatedlifestyle.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Lavish Nail And Beauty Spa","Lavish Nail And Beauty Spa, 370 Eastbridge Blvd Unit # 6, Waterloo, ON N2K 4P1, Canada","+1 519-722-1613","https://www.lavish387.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"California Nails & Spa","California Nails & Spa, 465 Phillip St, Waterloo, ON N2L 6C7, Canada","+1 519-804-9285","http://californianails.ca/","info@californianails.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Pedi N Nails","Pedi N Nails, 668 Erb St. W B7, Waterloo, ON N2T 2Z7, Canada","+1 519-883-7179","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Ruby Nails","Ruby Nails, 355 Erb St. W, Waterloo, ON N2L 1W4, Canada","+1 519-883-1268","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Aesthetically Yours Clinic","Aesthetically Yours Clinic, 251 Fern Crescent, Waterloo, ON N2V 2P9, Canada","+1 519-746-8217","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Shear Heaven","Shear Heaven, 375 University Ave E, Waterloo, ON N2J 2H2, Canada","+1 519-884-5141","https://shearheavensalon.wordpress.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"La Belle Beauty Salon & Nail","La Belle Beauty Salon & Nail, 851 Fischer-Hallman Rd, Kitchener, ON N2M 5M8, Canada","+1 519-570-1052","https://www.facebook.com/La-Belle-Beauty-Salon-1682246915352712/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Domani Hair","Domani Hair, 724 Belmont Ave W, Kitchener, ON N2M 1P2, Canada","+1 519-578-0800","http://www.domanihair.ca/","info@domanihair.ca","http://www.facebook.com/pages/Domani-Hair/122996351086103","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Crystal Nail Spa Inc","Crystal Nail Spa Inc, 373 Bridge St W, Waterloo, ON N2K 3K3, Canada","+1 519-886-3333","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Bardot Lash House","Bardot Lash House, 112 King St S, Waterloo, ON N2J 1P5, Canada","+1 519-208-5274","http://www.bardotlashhouse.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"FAFA Hair Studio","FAFA Hair Studio, 330 Phillip St, Waterloo, ON N2L 3W9, Canada","+1 416-829-2889","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Donna's Hair Design","Donna's Hair Design, 370 University Ave, Waterloo, ON N2K 3N2, Canada","+1 519-885-3220","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Clique Organic Salons","Clique Organic Salons, 851 Fischer-Hallman Rd #5A, Kitchener, ON N2M 5N8, Canada","+1 519-342-1767","http://www.cliqueorganicsalons.com/","info@cliqueorganicsalons.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"The Beauty Hub","The Beauty Hub, 110 Weber St N, Waterloo, ON N2J 3G8, Canada","+1 519-589-5909","https://www.beautyhub.salon/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Synergy Esthetics","Synergy Esthetics, 173 Rodney St, Waterloo, ON N2J 1G4, Canada","+1 519-897-1372","http://www.synergyesthetics.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"LINDALY NAILS (Waterloo)","LINDALY NAILS (Waterloo), 600 Laurelwood Dr, Waterloo, ON N2V 2V1, Canada","+1 519-883-4046","https://lindalynails.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Crescendo Hair Styling","Crescendo Hair Styling, 128 Weber St N, Waterloo, ON N2J 4E7, Canada","+1 519-885-4680","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"July Nail Bar","July Nail Bar, 112 King St S, Waterloo, ON N2J 1P5, Canada","+1 519-208-5274","http://www.julynailbar.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"The Nail Lounge","The Nail Lounge, 130 Columbia St W Unit 211, Waterloo, ON N2L 0G6, Canada","+1 519-804-8845","https://www.thenaillounge.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Tonyc Salon & Spa","Tonyc Salon & Spa, Conestoga Mall, 550 King St N, Waterloo, ON N2L 5W6, Canada","+1 519-725-6300","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Bj's Hairstyling For Men","Bj's Hairstyling For Men, 20 Spring St E, Waterloo, ON N2J 2L8, Canada","+1 519-884-6361","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Aesthetics By Jayne","Aesthetics By Jayne, 35 Union St E, Waterloo, ON N2J 1B8, Canada","+1 519-578-7260","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Signature Hair Design","Signature Hair Design, 176 Allen St E, Waterloo, ON N2J 1J8, Canada","+1 519-741-1107","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"PEDI n NAILS 655 parkside dr, unit 8 on, waterloo","PEDI n NAILS 655 parkside dr, unit 8 on, waterloo, 655 Parkside Dr unit 8, Waterloo, ON N2L 0C7, Canada","+1 226-647-7060","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Golden Hour Salon","Golden Hour Salon, 60 Moore Ave S, Waterloo, ON N2J 1W9, Canada","+1 519-301-5217","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Jolanta's European Spa","Jolanta's European Spa, 125 Park St, Waterloo, ON N2L 1Y4, Canada","+1 519-725-9999","http://www.jolantasspa.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sanctuary Day Spas Waterloo","Sanctuary Day Spas Waterloo, 370 University Ave E, Waterloo, ON N2K 3N2, Canada","+1 519-725-9904","https://www.sanctuarydayspas.com/spa/locations/waterloo/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Regal Nails, Salon & Spa","Regal Nails, Salon & Spa, 335 Farmers Market Rd, Waterloo, ON N2V 0A4, Canada","+1 519-883-8899","http://www.regalnails.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"The Sugar Cube","The Sugar Cube, 42 Bridgeport Rd E #5, Waterloo, ON N2J 0B3, Canada","+1 519-584-5768","http://www.thesugarcube.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Artline Salon","Artline Salon, 12 Rock Ave, Kitchener, ON N2M 2P1, Canada","+1 519-585-0230","https://artlinesalon.com/","info@artlinesalon.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Studio So Lara","Studio So Lara, 235 Ira Needles Blvd Bldg. C Unit 4, Kitchener, ON N2N 0B2, Canada","+1 519-745-5272","http://www.studiosolara.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"PEDI N NAILS","PEDI N NAILS, 50 Westmount Rd N unit 6A, Waterloo, ON N2L 2R5, Canada","+1 519-208-7939","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Rule of 6","Rule of 6, 60 Moore Ave S, Waterloo, ON N2J 1W9, Canada","+1 226-339-3757","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Skin To Soul Esthetics & More","Skin To Soul Esthetics & More, 255 Woolwich St Unit 103, Waterloo, ON N2K 0C8, Canada","+1 519-342-1053","http://www.skintosoul.ca/","anikogere@gmail.com","https://www.facebook.com/pages/Skin-to-Soul/136345246437193","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Flo Hair Lounge","Flo Hair Lounge, 200 Victoria St N, Kitchener, ON N2H 5C6, Canada","+1 519-954-1186","http://www.flohairlounge.com/","johnny@flowhairlounge.com","http://www.facebook.com/pages/Kitchener-ON/FLO-Hair-Lounge/161532647198814?ref=ts","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"L Beauty","L Beauty, 50 Westmount Rd N #216, Waterloo, ON N2L 6N9, Canada","+1 647-770-8245","http://www.lbeauty.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Indulgence Studio","Indulgence Studio, 279 Weber St N #1, Waterloo, ON N2J 3H8, Canada","+1 519-404-8941","http://indulgencestudio.ca/","info@indulgencestudio.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Pino's Salon & Medispa","Pino's Salon & Medispa, 70 Victoria St N, Kitchener, ON N2H 5C2, Canada","+1 519-578-8898","http://www.pinosalon.com/","info@pinosalon.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Nice Haircut Salon & Barbershop","Nice Haircut Salon & Barbershop, 308 Lester St #111, Waterloo, ON N2L 3W6, Canada","+1 226-647-1188","http://nicehaircutbarbershop.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Nails for You","Nails for You, 550 King St N, Waterloo, ON N2L 5W6, Canada","+1 519-208-6886","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Mini Beauty Salon","Mini Beauty Salon, 223 Hawkswood Dr, Kitchener, ON N2K 4J2, Canada","+1 519-745-8103","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Serenity Skin Care Studio Laser and MediSpa","Serenity Skin Care Studio Laser and MediSpa, 15 Westmount Rd S Suite 301, Waterloo, ON N2L 2K2, Canada","+1 519-747-2256","http://www.serenityskincarestudio.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"AV Hair Lounge","AV Hair Lounge, 152 Bridge St W, Waterloo, ON N2K 1K8, Canada","+1 519-635-3993","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sunday Love","Sunday Love, 120 King St S, Waterloo, ON N2J 1P5, Canada","+1 647-984-7484","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Hollywood Nails Waterloo","Hollywood Nails Waterloo, 36 Northfield Dr E Unit # 15, Waterloo, ON N2L 6A1, Canada","+1 519-725-9595","http://facebook.com/HollywoodNailsWaterloo","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"The Sonneck House","The Sonneck House, 108 Queen St N, Kitchener, ON N2H 2H5, Canada","+1 519-584-0004","http://www.thesonneckhouse.com/","info@thesonneckhouse.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Gina's College Of Advanced Aesthetics","Gina's College Of Advanced Aesthetics, 385 Weber St N, Waterloo, ON N2J 3J2, Canada","+1 519-886-2998","https://www.ginascollege.com/","info@ginascollege.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Romeo Aveda Salon Kitchener","Romeo Aveda Salon Kitchener, 1 King St W, Kitchener, ON N2G 1A3, Canada","+1 519-208-1080","https://www.romeosalonspa.com/%3Futm_source%3Dgmb%26utm_medium%3Dsearch%26utm_campaign%3Dgmb-kitchener","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Romana's Esthetics","Romana's Esthetics, 726 Belmont Ave W, Kitchener, ON N2M 1P2, Canada","+1 519-744-1400","http://www.romanasesthetics.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sugar Savvy Body Sugaring","Sugar Savvy Body Sugaring, 684 Belmont Ave W Unit 102, Kitchener, ON N2M 1N6, Canada","+1 226-929-2451","https://www.sugarsavvy.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Enails","Canada, Ontario, Waterloo, 275Larch St, Enails邮政编码: N2L 3R2","+1 519-954-0888","http://www.enails.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Permanent Makeup, Microblading and Volume Eyelash Extensions By Sumiko","Permanent Makeup, Microblading and Volume Eyelash Extensions By Sumiko, 95 King St S, Waterloo, ON N2J 5A2, Canada","+1 519-616-2311","http://pmu-lashes-aesthetics.com/","info@pmu-lashes-aesthetics.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Nails For You","Nails For You, Bridgeport Plaza, 94 Bridgeport Rd E, Waterloo, ON N2J 2J9, Canada","+1 519-954-1818","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"House of Elegance Hair Studio","House of Elegance Hair Studio, 100 Caroline St S, Waterloo, ON N2L 1X5, Canada","+1 519-743-4093","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"City Style Barber Shop Inc","City Style Barber Shop Inc، 251 Hemlock Street Commercial 112, Waterloo, ON N2L 3R4, Canada","+1 519-208-4799","https://www.citystylebarbershop.ca/","info@citystylebarbershop.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"The Waters - An Urban Spa Retreat","The Waters - An Urban Spa Retreat, 75 King St S Unit #51 Doors on, Willis Way, Waterloo, ON N2J 1P2, Canada","+1 519-888-7727","http://www.thewatersspa.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Luxeappeal Salon","Luxeappeal Salon, 151 Charles St W, Kitchener, ON N2G 1H6, Canada","+1 519-208-7097","http://www.luxeappeal.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Pure + simple Waterloo","Pure + simple Waterloo, 42 Bridgeport Rd E #1, Waterloo, ON N2J 0B3, Canada","+1 226-647-5042","http://www.pureandsimple.ca/","info@pureandsimple.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sunshine Kitchener Waterloo Cosmetic Clinic & Medi Spa","Sunshine Kitchener Waterloo Cosmetic Clinic & Medi Spa, 278 Larch St, Waterloo, ON N2L 3R3, Canada","+1 519-208-6669","http://www.kitchenerwaterloomedispa.com/","info@kitchenerwaterloomedispa.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"G & T Barber Shop","G & T Barber Shop, 75 King St S, Waterloo, ON N2J 1P2, Canada","+1 519-746-1413","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Hair Looks","Hair Looks, 215 Louisa St, Kitchener, ON N2H 5M6, Canada","+1 519-743-5931","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Splendid Beauty Bar","Splendid Beauty Bar, 33 Erb St. W, Waterloo, ON N2L 1S8, Canada","+1 519-500-7879","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"PIERC'D","PIERC'D, 89 King St N, Waterloo, ON N2J 2X3, Canada","+1 905-299-0537","https://piercd.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Shear D'Lite","Shear D'Lite, 619 Wild Ginger Ave, Waterloo, ON N2V 2X1, Canada","+1 519-746-2215","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Kourtney.Eva.Hair","Kourtney.Eva.Hair, 33 Erb St. W, Waterloo, ON N2L 1S8, Canada","+1 519-635-2164","https://kourtneyevahair.business.site/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Morrow Salon","Morrow Salon, 70 Samuel St, Kitchener, ON N2H 1P6, Canada","+1 519-954-2820","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sally Beauty","Sally Beauty, 66 Bridgeport Rd E, Waterloo, ON N2J 2J9, Canada","+1 519-885-9144","https://www.sallybeauty.com/store-details/%3FshowMap%3Dtrue%26horizontalView%3Dtrue%26lat%3D43.469385%26long%3D-80.516226_utm_source%3DGMBlisting%26utm_medium%3Dorganic","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sunset Tan","Sunset Tan, 55 Northfield Dr E, Waterloo, ON N2K 3T6, Canada","+1 519-886-6868","http://www.sunsettan.ca/","info@sunsettan.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sassy Salon","Sassy Salon, 50 Ontario St S, Kitchener, ON N2G 1X4, Canada","+1 519-571-9256","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Aesthetic Art","Aesthetic Art, 129 Park St 2nd Floor, Waterloo, ON N2L 1Y4, Canada","+1 519-722-8774","https://www.aestheticart.ca/","info@aestheticart.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Priscilla Extensions","Priscilla Extensions, 526 Brookmill Crescent, Waterloo, ON N2V 2M1, Canada","+1 519-574-9904","https://www.facebook.com/priscillaextensions","info@facebook.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Bamboo Salon","Bamboo Salon, 1601 Victoria St N, Kitchener, ON N2B 3E6, Canada","+1 519-588-8471","http://www.bamboosalon.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"New Looks Hair Salon","New Looks Hair Salon, 345 Lancaster St W, Kitchener, ON N2H 4V4, Canada","+1 519-578-1140","https://www.instagram.com/newlookshairkw/","info@instagram.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"AFYA Skin and Body Laser Clinic","AFYA Skin and Body Laser Clinic, 192 King St S, Waterloo, ON N2J 1P9, Canada","+1 226-686-1314","http://afyaskinandbody.com/","info@afyaskinandbody.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Hairbyfaraz","Hairbyfaraz, 33 Erb St. W, Waterloo, ON N2L 1S8, Canada","+1 226-899-2416","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Studio Soul","Studio Soul, House, 448 Gatestone Blvd, Waterloo, ON N2T 2J1, Canada","+1 519-722-7119","http://www.studiosoul.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Sally Beauty","Sally Beauty, 350 The Boardwalk Mall Ln #2, Waterloo, ON N2T 0A6, Canada","+1 519-571-9668","https://www.sallybeauty.com/store-details/%3FshowMap%3Dtrue%26horizontalView%3Dtrue%26lat%3D43.438774%26long%3D-80.562678_utm_source%3DGMBlisting%26utm_medium%3Dorganic","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Premium Hair Haven","Premium Hair Haven, 139 Brighton St, Waterloo, ON N2J 4Z5, Canada","+1 289-637-4404","http://premiumhairhaven.com/","info@premiumhairhaven.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
